Field,ID,Type (Type),default,en-us,ar,zh,en,fil,fr,hi,ja,ko,pt,pa,sd,es,tr,uk
Description,2,Text,,"OctoDraw 3D is a legitimate ""undiscovered gem"" specifically because it targets a different niche than the high-end industrial tools, OctoDraw is a fast, tool-driven modeler optimized for direct construction and high portability


## Why OctoDraw is a Gem

* Direct Construction: It excels at ""sketching with lines and faces,"" allowing you to build higher-level architectural and engineering elements like walls, slabs, stairs, and even HVAC runs very quickly.

* 100% Privacy & Local Storage: Unlike many modern CAD apps that force you into the cloud, OctoDraw keeps your models strictly on your local computer storage.

* Cross-Platform Portability: It uses the same file format across multiple platforms, making it a great ""bridge"" tool if you move between your workstation and a tablet or phone.

* Dynamic User Objects: It allows you to implement advanced features and custom objects without needing programming knowledge, making it highly extensible through On a windows workstation OctoDraw will be incredibly lightweight and fast. It doesn't need the massive resources of a full Parasolid-engine app, yet it still provides precise snapping and dimensioning tools.
* Best Use Case: Use OctoDraw for rapid architectural layouts, HVAC design, or quick direct editing where you don't want to deal with a complex ""history tree"" or high subscription costs.

## Verdict
It is essentially the ""Swiss Army Knife"" of the Microsoft Store's CAD section. It’s not as ""pretty"" as Plasticity or as industrial as Shapr3D, but for direct, private, and portable modeling, it is unbeatable for the price (currently free for the base version).

Are you planning to use it for architectural floor plans or more for mechanical part design?",dfg,,,,,,,,,,,,,
ReleaseNotes,3,Text,,"this is a new release,
basic drawing modes : line, multiline, planar shape, ribbon, screen text, vectorial text, linear dimension
basic construction: extrude, follow path
cameras: god-mode(orbit), walk, orthogonal
manipulation: move,copy,rotate,skew-radial, stretch-linear,  
advanced:
 - architecture ( walls+holes), frames,slabs, stair tool, frames
 - dynamic objects ( objects + internal graphical operators/hotspots )
exporters ( 3mf, iges, stl, obj, dxf, svg )",df,,,,,,,,,,,,,
Title,4,Text,,OctoDraw-Free,,,,,,,,,,,,,,
ShortTitle,5,Text,,,,,,,,,,,,,,,,
SortTitle,6,Text,,,,,,,,,,,,,,,,
VoiceTitle,7,Text,,,,,,,,,,,,,,,,
ShortDescription,8,Text,,,,,,,,,,,,,,,,
DevStudio,9,Text,,,,,,,,,,,,,,,,
CopyrightTrademarkInformation,12,Text,,,,,,,,,,,,,,,,
AdditionalLicenseTerms,13,Text,,,,,,,,,,,,,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PGZHNKDS3PX/submissions/1152921505701935764/listings/1152922700024163485/listingassets/3040707053903949587,,,,,,,,,,,,,,
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PGZHNKDS3PX/submissions/1152921505701935764/listings/1152922700024163485/listingassets/3054722638353381371,,,,,,,,,,,,,,
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PGZHNKDS3PX/submissions/1152921505701935764/listings/1152922700024163485/listingassets/3025256069640989385,,,,,,,,,,,,,,
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PGZHNKDS3PX/submissions/1152921505701935764/listings/1152922700024163485/listingassets/3033655779524838713,,,,,,,,,,,,,,
